2026-04-12 02:58:45,221 | DEBUG | DEBUG | fnf.debug.main | Initialisation de pygame avec la configuration chargee.
2026-04-12 02:58:46,520 | DEBUG | DEBUG | fnf.debug.game | Configuration de jeu chargee depuis C:\Users\Luka\Documents\fnf python\data\config.json
2026-04-12 02:59:23,776 | DEBUG | DEBUG | fnf.debug.main | Initialisation de pygame avec la configuration chargee.
2026-04-12 02:59:24,943 | DEBUG | DEBUG | fnf.debug.game | Configuration de jeu chargee depuis C:\Users\Luka\Documents\fnf python\data\config.json
2026-04-12 02:59:30,644 | DEBUG | DEBUG | fnf.debug.settings | Parametres sauvegardes dans C:\Users\Luka\Documents\fnf python\data\settings.json
2026-04-12 02:59:30,646 | DEBUG | DEBUG | fnf.debug.settings | Parametres sauvegardes dans C:\Users\Luka\Documents\fnf python\data\settings.json
2026-04-12 02:59:30,648 | DEBUG | DEBUG | fnf.debug.settings | Parametres sauvegardes dans C:\Users\Luka\Documents\fnf python\data\settings.json
2026-04-12 02:59:30,650 | DEBUG | DEBUG | fnf.debug.settings | Parametres sauvegardes dans C:\Users\Luka\Documents\fnf python\data\settings.json
2026-04-12 02:59:30,652 | DEBUG | DEBUG | fnf.debug.settings | Parametres sauvegardes dans C:\Users\Luka\Documents\fnf python\data\settings.json
2026-04-12 02:59:30,654 | DEBUG | DEBUG | fnf.debug.settings | Parametres sauvegardes dans C:\Users\Luka\Documents\fnf python\data\settings.json
2026-04-12 02:59:30,656 | DEBUG | DEBUG | fnf.debug.settings | Parametres sauvegardes dans C:\Users\Luka\Documents\fnf python\data\settings.json
2026-04-12 02:59:30,658 | DEBUG | DEBUG | fnf.debug.settings | Parametres sauvegardes dans C:\Users\Luka\Documents\fnf python\data\settings.json
2026-04-12 02:59:35,723 | DEBUG | INFO | fnf.debug.game | Chart charge: C:\Users\Luka\Documents\fnf python\data\charts\2hot BF mix.json
2026-04-12 03:03:12,335 | DEBUG | DEBUG | fnf.debug.smoke | debug smoke test
